Category: All categories

Region,Football: (1/1/04 - 3/17/21),American football: (1/1/04 - 3/17/21)
Alabama,16%,84%
Nebraska,23%,77%
Mississippi,22%,78%
South Carolina,23%,77%
Iowa,25%,75%
West Virginia,24%,76%
Oklahoma,24%,76%
Georgia,27%,73%
Tennessee,24%,76%
Louisiana,26%,74%
Ohio,31%,69%
Arkansas,25%,75%
Michigan,28%,72%
Kentucky,28%,72%
Idaho,27%,73%
South Dakota,32%,68%
Utah,33%,67%
North Dakota,28%,72%
North Carolina,33%,67%
Kansas,36%,64%
Wyoming,29%,71%
Montana,28%,72%
Indiana,34%,66%
Texas,37%,63%
Florida,33%,67%
Wisconsin,36%,64%
Pennsylvania,37%,63%
Minnesota,39%,61%
Hawaii,35%,65%
Missouri,39%,61%
Colorado,39%,61%
Arizona,37%,63%
Oregon,48%,52%
District of Columbia,43%,57%
Virginia,45%,55%
Illinois,41%,59%
Delaware,42%,58%
Washington,41%,59%
Maryland,44%,56%
Nevada,41%,59%
New Jersey,53%,47%
New Mexico,40%,60%
Connecticut,52%,48%
California,54%,46%
Massachusetts,52%,48%
New York,54%,46%
Rhode Island,53%,47%
Vermont,54%,46%
New Hampshire,49%,51%
Maine,49%,51%
Alaska,43%,57%
